english,category,zh_tw,alternative_zh_tw,source,status,lock,notes
Artificer,class,奇械師,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Barbarian,class,野蠻人,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Bard,class,吟遊詩人,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Cleric,class,牧師,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Druid,class,德魯伊,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Expert Sidekick,class,專家協力者,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Fighter,class,戰士,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Monk,class,武僧,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Mystic,class,秘術師,靈能師,community candidate,approved,true,
Paladin,class,聖武士,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Ranger,class,遊俠,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Rogue,class,遊蕩者,盜賊,5eclone.pingstudio.tw (preferred candidate); project glossary alternatives,approved,true,User approved the first listed candidate; may revise later.
Sorcerer,class,術士,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Spellcaster Sidekick,class,施法協力者,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Warlock,class,契術師,邪術師,5eclone.pingstudio.tw (preferred candidate); project glossary alternatives,approved,true,User approved the first listed candidate; may revise later.
Warrior Sidekick,class,武者協力者,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Wizard,class,法師,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Ability Score Improvement,classFeature,屬性值提升,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Action Surge,classFeature,動作如潮,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Action Surge (two uses),classFeature,動作如潮(2次),,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Arcane Recovery,classFeature,奧術恢復,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Arcane Tradition,classFeature,奧法學派,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Arcane Tradition feature,classFeature,奧法學派能力,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Archdruid,classFeature,大德魯伊,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Artificer Specialist,classFeature,奇械師專業,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Artificer Specialist Feature,classFeature,奇械師專業能力,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Aura improvements,classFeature,靈光強化,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Aura of Courage,classFeature,勇氣靈光,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Aura of Protection,classFeature,守護靈光,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Bard College,classFeature,吟遊學院,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Bard College feature,classFeature,吟遊學院能力,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Bardic Inspiration,classFeature,吟遊激勵,吟遊激勵(d8),5eclone.pingstudio.tw (preferred candidate); project glossary alternatives,approved,true,User approved the first listed candidate; may revise later.
Bardic Inspiration (d10),classFeature,吟遊激勵(d10),,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Bardic Inspiration (d12),classFeature,吟遊激勵(d12),,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Bardic Versatility,classFeature,多才詩人,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Battle Readiness,classFeature,備戰,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Beast Spells,classFeature,野獸施法,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Blessed Strikes,classFeature,受祝擊,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Blindsense,classFeature,盲感,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Bonus Proficiencies,classFeature,額外熟練,額外熟練項,5eclone.pingstudio.tw (preferred candidate); project glossary alternatives,approved,true,User approved the first listed candidate; may revise later.
Brutal Critical (1 die),classFeature,兇蠻重擊(1顆骰),,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Brutal Critical (2 dice),classFeature,兇蠻重擊(2顆骰),,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Brutal Critical (3 dice),classFeature,兇蠻重擊(3顆骰),,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Cantrip Formulas,classFeature,戲法公式,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Cantrip Versatility,classFeature,替換戲法,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Channel Divinity,classFeature,引導神力,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Channel Divinity: Harness Divine Power,classFeature,引導神力：神力掌控,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Cleansing Touch,classFeature,淨化之觸,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Coordinated Strike,classFeature,協同攻擊,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Countercharm,classFeature,反制迷惑,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Cunning Action,classFeature,靈巧動作,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Danger Sense,classFeature,險境感知,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Dedicated Weapon,classFeature,專用武器,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Deflect Missiles,classFeature,撥擋飛彈,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Deft Explorer,classFeature,熟練探險家,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Deft Explorer Improvement,classFeature,熟練探險家強化,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
